c1,s1,e1,c2,se,e2
1,103963451,104012021,1,104057620,104106172
1,104000001,104012021,1,104028238,104040259
1,104002368,104012021,1,104057651,104066704
1,104012548,104017471,1,104052803,104057622
1,104014189,104044791,1,104089607,104118990
1,104057651,104079954,1,104096507,104118992
1,104270711,104272929,X,92363491,92365140
1,104661053,104663525,12,40760686,40763445
1,106040898,106042171,2,241940831,241942112
1,106233680,106234777,5,138692931,138694029
1,106233687,106234990,X,71797035,71798312
1,106233724,106234778,6,9768830,9769891
1,106235707,106236801,5,138670825,138671912
1,107905498,107906546,X,78652248,78653299
1,108557149,108591830,5,85610447,85638589
1,108565766,108654797,1,108727872,108816809
1,108580323,108591830,1,108716260,108727851
1,108705860,108721870,5,85600001,85615946
1,108716260,108727851,1,108790833,108802312
1,108790833,108816809,5,85610447,85629964
1,109447257,109448911,2,70168717,70169778
1,110017623,110036029,1,110036030,110060407
1,110636982,110641218,14,88692272,88696058
1,110638338,110641213,X,75024187,75026619
1,110638548,110641216,17,12080206,12082718
1,110639628,110641208,18,55942127,55943577
1,111106076,111108120,5,40194027,40196072
1,111191721,111193171,3,46039715,46041415
1,111191728,111192931,10,64583275,64584792
1,111191731,111193209,18,31675597,31677387
1,111191731,111193201,8,109064405,109066170
1,111191875,111193195,10,5857917,5859161
1,111723898,111725679,11,64668460,64670296
1,111724341,111725701,12,51822009,51823368
1,111724372,111725699,4,110814384,110815709
1,111724400,111725701,20,33929755,33931063
1,111724667,111725688,3,42800794,42801817
1,111992375,111993454,2,189884174,189885240
1,113014134,113015761,X,87236577,87238191
1,113014134,113015763,2,160025686,160027294
1,113194130,113195156,1,113300662,113301677
1,113793800,113795272,X,138942124,138943704
1,113793804,113795266,6,48224193,48225741
1,113793805,113795264,10,43604317,43605881
1,113793805,113794894,3,75346351,75347489
1,113793847,113795240,4,83268777,83270192
1,113793848,113795264,12,50392127,50393588
1,113793849,113795260,15,55326075,55327465
1,113794087,113795272,13,65259671,65260896
1,115048623,115049919,6,4986261,4987560
1,115048628,115049661,4,20499466,20500488
1,115258560,115260215,10,61218527,61220197
1,115770040,115771062,X,119751962,119753442
1,115908592,115911089,X,69072042,69074742
1,115909448,115911069,8,17131122,17132728
1,116199710,116201987,1,239149552,239151264
1,116199712,116201948,9,4933952,4935889
1,116199715,116201988,2,174882271,174883973
1,116199723,116201988,X,99996228,99998050
1,116199723,116202021,5,79689946,79691674
1,116199723,116201988,8,142538332,142540030
1,116199723,116201988,18,28245469,28247162
1,116199723,116201988,X,100028571,100030261
1,116199723,116201763,8,83365709,83367174
1,116199723,116201610,6,24110029,24111345
1,116199724,116202022,8,82882502,82884229
1,116199725,116201988,2,201636032,201637724
1,116199730,116201988,6,5553758,5555455
1,116199740,116201988,15,33480159,33481956
1,116199759,116201976,11,73743123,73745094
1,116200149,116201971,3,39351463,39353028
1,116200214,116201564,10,46552815,46553899
1,116200397,116201961,17,2156806,2158100
1,116200397,116201971,X,73609232,73610521
1,116200487,116202022,2,41237179,41238834
1,116200492,116202022,X,118238713,118240428
1,116200770,116201988,12,91801656,91802882
1,116200772,116201988,1,201147538,201148752
1,116200773,116201988,16,50237205,50238461
1,116200773,116201973,13,20420159,20421748
1,116200774,116201988,15,97642081,97643329
1,116200774,116201988,13,52114604,52115859
1,116200775,116201988,3,42905832,42907067
1,116200776,116201988,7,84450783,84452027
1,116200776,116201988,6,32400949,32402199
1,116200776,116201988,4,75022923,75024170
1,116200776,116201988,19,11637618,11638870
1,116200776,116201973,19,47025552,47027097
1,116200777,116201988,7,86988688,86989938
1,116200777,116201948,9,90215003,90216182
1,116200780,116201987,11,5548791,5550022
1,116200787,116201988,4,79127783,79129016
1,116200788,116201988,11,110163707,110164934
1,116200793,116201988,2,206992023,206993232
1,116875906,116877119,11,2922247,2923452
1,116931964,116967790,2,91281341,91320068
1,116959144,117004967,22,19911964,19959817
1,116959144,117004967,22,17160856,17208545
1,116991075,117004967,22,19819306,19835372
1,117083559,117085563,22,28214835,28217273
1,117487738,117489373,20,25028607,25030232
1,118958234,118959812,3,68767526,68769107
1,118958242,118959804,12,18736952,18738535
1,119119781,119121557,4,41077785,41079582
1,119428342,119429799,X,129373001,129375306
1,119428653,119430134,X,140182428,140186049
1,119428661,119430138,5,79662355,79664154
1,119900100,119932378,1,119937516,119963373
1,152617218,152618249,14,102910045,102911068
1,154485653,154486764,11,111597741,111598866
1,155309596,155311314,11,118978586,118980303
1,158502674,158503718,14,102910044,102911083
1,162592604,162593830,10,112200353,112201607
1,181177065,181178166,14,100017034,100018168
1,183462495,183463510,11,117936560,117937570
1,201147538,201148803,11,110163648,110164934
1,207473244,207474546,13,113342433,113343780
1,208505366,208507259,12,104933756,104935151
1,208505370,208507259,11,111643016,111644353
1,208505387,208507259,10,104965407,104966759
1,235049491,235050522,14,102910044,102911075
1,247184297,247188131,13,114122045,114126259
13,114116206,114126259,2,5776,16175
13,114113045,114115933,2,20142,22217
12,104933715,104936317,2,12081047,12083635
11,111642870,111644388,2,12081053,12082595
10,104965373,104967906,2,12081054,12082964
15,100126158,100129421,2,24315331,24318483
11,110163707,110164970,2,41237178,41238453
14,102910044,102911083,2,62226939,62227974
11,111528399,111529539,2,62796107,62797273
12,109350795,109352569,2,74497446,74499292
11,113783376,113784841,2,80241977,80243446
14,100017005,100018168,2,97810108,97811244
10,104228980,104230920,2,110299904,110301703
11,117936557,117937570,2,111441824,111442835
10,111430191,111431278,2,113327572,113328656
15,100307956,100338402,2,114046768,114076720
10,107435973,107439472,2,127029340,127032309
11,100364658,100367651,2,130483085,130485118
11,100366123,100367651,2,131800279,131801790
11,118978613,118980303,2,183643844,183645536
11,111642835,111644390,2,188398227,188399836
12,104933721,104936277,2,188398229,188400804
10,104965403,104967055,2,188398260,188399935
11,110163707,110164972,2,201635994,201637273
11,110163712,110164944,2,206992023,206993242
14,103485417,103487187,2,207889756,207890828
10,104996306,104997467,2,210592636,210593791
12,102948638,102950364,3,9365078,9366750
14,104648151,104650430,3,11503295,11505131
10,101588740,101590225,3,11503845,11505131
12,103894598,103895934,3,32275437,32276785
11,110163707,110164934,3,42905832,42907054
14,104647728,104650599,3,48226898,48230019
10,101586802,101590394,3,48226898,48230001
11,118978654,118980300,3,63056962,63058471
12,110589118,110592165,3,102794159,102795971
10,101586722,101590011,3,107311577,107314309
12,111428010,111429832,3,108304615,108306417
14,102910044,102911084,3,111883744,111884769
11,117773247,117775136,3,113447502,113449403
11,118978578,118980303,3,139302805,139304526
12,104933725,104934951,3,144718615,144719841
10,104965376,104966562,3,144718637,144719841
11,110163715,110164934,3,149366562,149367798
12,106189301,106190587,3,157188210,157189525
11,118978616,118980303,3,171695847,171697533
14,102910044,102911067,3,198197868,198198887
13,114117440,114126259,4,16161,30543
14,100017023,100018184,4,63058765,63059898
12,102015710,102016981,4,67346408,67347679
12,109350815,109352510,4,74183363,74185047
11,110163648,110164934,4,75022873,75024170
11,110163707,110164970,4,79127784,79129052
12,111428010,111431663,4,83716641,83720263
10,110905188,110906545,4,86163460,86164814
12,100840102,100841481,4,123879978,123881324
14,104648152,104650369,4,158776414,158778647
10,101587212,101590164,4,158776419,158778647
13,114119035,114122904,4,191248400,191252288
13,114116206,114125873,5,72555,85195
10,102132230,102133288,5,523625,524674
12,111428014,111432100,5,23335336,23339393
11,111556518,111561261,5,37540211,37542905
10,103925289,103927098,5,53076782,53078223
11,106552149,106553689,5,53190651,53192211
11,118978586,118980302,5,60074946,60076628
14,105289546,105290671,5,63558262,63559389
14,105190779,105191900,5,63558262,63559389
14,105145136,105146262,5,63558262,63559389
14,104648146,104650403,5,75502353,75504662
10,101587201,101590198,5,75502353,75504662
11,110163707,110164944,5,79690398,79691650
11,111642839,111644085,5,82307859,82309134
10,104965675,104967903,5,82307860,82309468
12,104934026,104936304,5,82307861,82310127
12,118117026,118118286,5,84880972,84882234
12,106189301,106191445,5,96416145,96418298
12,103894593,103895647,5,108952194,108953260
11,118978590,118980304,5,122764319,122766013
12,103894598,103895962,5,122999676,123001060
11,118978580,118980302,5,146065757,146067430
14,104648150,104650403,5,167218125,167220656
10,101587210,101590198,5,167218125,167220651
12,117336521,117338182,5,177331788,177333428
13,100054188,100055398,5,180475153,180476323
15,100218755,100268630,5,180711965,180763176
15,100218755,100279868,6,5001,66771
13,114122045,114126259,6,99204,103868
11,110163709,110164981,6,5554208,5555502
11,106552242,106553689,6,25131233,25132668
11,110163707,110164934,6,32400949,32402187
12,109350816,109352201,6,34320585,34321972
14,104648154,104650430,6,43655614,43657620
10,101588613,101590225,6,43656161,43657620
12,102948676,102950372,6,73821530,73823208
10,104630075,104631236,6,111322410,111323586
12,118117028,118118273,6,111351455,111352778
14,102910045,102911083,6,112783639,112784689
10,107436005,107439354,6,127718529,127721693
14,104648150,104650564,6,134026672,134029045
10,101587208,101590359,6,134026672,134029042
11,118978572,118980300,6,134659616,134661601
11,101606653,101609364,6,147771109,147774163
12,106819202,106821895,6,170732113,170735634
15,100218755,100268630,6,170775689,170830148
11,106552216,106553687,7,21226132,21227578
12,104430679,104431776,7,21889545,21890647
15,100136609,100144199,7,30529071,30537265
10,103924632,103927098,7,48852309,48854074
11,110163707,110164970,7,84450747,84452015
14,100017003,100018170,7,120478162,120479293
12,119382090,119383752,7,129978886,129980682
12,104933721,104936308,7,132503300,132505896
10,104965373,104967904,7,132503959,132505895
11,111642870,111644388,7,132504326,132505896
12,104933723,104934939,7,138837658,138839128
15,100218755,100268630,8,69037,121956
11,111559011,111561256,8,25341465,25343403
10,118771758,118773444,8,26977430,26978804
11,111556573,111561264,8,31195246,31198208
12,111428053,111432100,8,59495278,59499630
11,118978578,118980303,8,62653256,62654984
14,102910045,102911085,8,81633581,81634625
11,110163707,110164981,8,82882490,82883777
11,110163707,110164707,8,83366160,83367174
11,116711527,116712578,8,92990540,92991595
10,107437428,107439444,8,102000001,102001939
14,104648157,104650353,8,128397069,128399331
10,101587212,101590148,8,128397069,128399331
12,104933724,104935342,8,134489350,134490950
10,104965375,104966926,8,134489350,134490910
11,111642870,111644354,8,134489381,134490905
15,100307956,100338529,9,436,30515
11,110163707,110164898,9,4934416,4935893
11,106552221,106553689,9,32935993,32937450
10,107436058,107438270,9,34911184,34912930
10,112200442,112201607,9,36292932,36294054
11,111556558,111561229,9,37466997,37470417
14,104648155,104650430,9,38231233,38233612
10,101587210,101590225,9,38231233,38233612
14,102910044,102911084,9,78203357,78204401
14,102910044,102911335,9,90129046,90130154
11,110163748,110164934,9,90215051,90216223
10,103924632,103927098,9,98302229,98303974
13,114085306,114089382,9,101799512,101800782
14,104648152,104650402,9,114315552,114318014
10,101587208,101590197,9,114315552,114318013
14,104648144,104650420,9,122296858,122299546
10,101587199,101590215,9,122296858,122299546
11,110163707,110164946,9,127397734,127398988
12,106189728,106191445,9,130496739,130498485
11,117411511,117414636,9,135885250,135886989
10,107436058,107439316,X,41418051,41420703
11,116543351,116546971,X,24957998,24962990
12,109350817,109352572,X,26675963,26677721
11,109605381,109607922,X,27443209,27445921
13,113342433,113343789,X,36888995,36890340
10,118771740,118773597,X,41092834,41094408
14,102910050,102911084,X,44485199,44486227
11,118978688,118980302,X,45376382,45377998
14,105208401,105209889,X,47379864,47381458
14,105082805,105085027,X,47379974,47383683
11,109194018,109196533,X,56355580,56358107
14,100017006,100018176,X,68310652,68311796
14,104648147,104650364,X,71817172,71819533
10,101587202,101590159,X,71817172,71819533
10,100761550,100763695,X,75166344,75168468
12,102948675,102950371,X,77110114,77111803
12,106189301,106191445,X,83897223,83899304
14,102910048,102911083,X,86844924,86845963
12,103894608,103895981,X,91601276,91602656
12,104933722,104935326,X,92428974,92430497
10,104965372,104966934,X,92428995,92430498
11,111642870,111644387,X,92429008,92430497
14,102910047,102911086,X,99297461,99298508
11,110163707,110164949,X,99996679,99998065
11,110163707,110164991,X,100029026,100030318
11,111556573,111561264,X,104536840,104540212
10,118391608,118392833,X,107513701,107514956
12,106189301,106190587,X,115981217,115982515
11,110163710,110164970,X,118238712,118239986
10,105873462,105876129,X,119219487,119220529
11,102036815,102041920,X,133032335,133037452
10,112200353,112201607,X,133921024,133924028
11,118978578,118980304,X,151398627,151400356
11,113165970,113167339,X,153462103,153463491
11,113165970,113167339,X,153503837,153505225
14,100017035,100018168,X,153697777,153698875
15,100328843,100338915,X,154903076,154913373
12,103894608,103895981,Y,5501140,5502521
15,100328843,100338915,Y,57762276,57772573
10,8595468,8597177,11,118978581,118980303
10,107436037,107439472,10,23465826,23468720
10,71851699,71853697,11,103003182,103005169
10,81759691,81763644,11,107554372,107558298
10,99180124,99183190,12,102948824,102950374
10,100181590,100184346,22,35260508,35263261
10,100531054,100532661,18,18414961,18416569
10,101515571,101516808,12,127985833,127987380
10,101586797,101590011,17,20827804,20830531
10,101586802,101590225,19,20377011,20379827
10,101586803,101590425,14,104647747,104650630
10,101586804,101590361,19,35080670,35084937
10,101586961,101590227,17,39612580,39614581
10,101587211,101590150,19,22899909,22903253
10,101587211,101590225,12,40906913,40909505
10,101588613,101590349,19,13674135,13675820
10,101588613,101590227,15,73559868,73561333
10,101682118,101686349,10,101709532,101713759
10,102110480,102114565,17,20629432,20633515
10,104965373,104967906,12,104933722,104935658
10,104965373,104966968,13,49644143,49645749
10,104965373,104966934,11,18240023,18241603
10,104965373,104966956,11,111642835,111644387
10,104965375,104967914,11,94285779,94287708
10,104965484,104966951,12,56663432,56664789
10,104995705,104996880,22,28334850,28335940
10,105052543,105053711,19,22113564,22114734
10,107436762,107438268,11,3948362,3949895
10,112898016,112899158,10,112899160,112900291
10,115867157,115869109,20,48131127,48132859
11,50001,92822,15,100218755,100262921
11,3966152,3967274,14,100017034,100018176
11,109605387,109607970,11,4185745,4188319
11,110163714,110164933,11,5548806,5550022
11,116711506,116712609,11,9288784,9289864
11,18167565,18169348,12,108773131,108774927
11,18240022,18241624,12,104933721,104935326
11,111642830,111644329,11,18240080,18241629
11,33763360,33765602,12,100404251,100406827
11,101877870,101882600,11,56179346,56183754
11,56610172,56611544,12,102905352,102906724
11,64698178,64699538,12,102948995,102950367
11,110163648,110164981,11,73743065,73744738
11,111642870,111644390,11,94285774,94287333
11,94285779,94288350,12,104933724,104936302
11,100366123,100367363,22,14807486,14808720
11,100366123,100367363,14,18468666,18469900
11,100366123,100367349,14,19229620,19230840
11,103003186,103005169,15,40658134,40660425
11,104440299,104470272,11,104470278,104500455
11,106199842,106202578,12,21512705,21515451
11,106779275,106780563,13,44066904,44068282
11,106779288,106780567,14,20700418,20701794
11,110163648,110164944,19,11637567,11638880
11,110163650,110164971,16,50237168,50238510
11,110163699,110164907,17,2156806,2158024
11,110163707,110164970,18,28245921,28247198
11,110163707,110164968,13,52114570,52115845
11,110163707,110164944,19,47025527,47027085
11,110163707,110164933,13,20420174,20421762
11,110163707,110164949,12,91801641,91802864
11,111323279,111326042,11,111562121,111564882
11,111556494,111561261,17,19955514,19959044
11,111642829,111644280,12,56663421,56664793
11,111642870,111644388,12,104933721,104935292
11,112053746,112056722,11,112983803,112986788
11,113164904,113165929,17,63642599,63643667
11,113164904,113165929,17,25975254,25976283
11,113164923,113165929,17,27391292,27392301
11,113165967,113167385,17,71733344,71734765
11,113165968,113167385,22,38246513,38248631
11,113722691,113725625,12,14262816,14265815
11,113981186,113984845,11,113984903,113990060
11,116509421,116514763,11,116581672,116587255
11,116711506,116712609,19,45140385,45141480
11,117936541,117937560,15,69142436,69143459
11,117936552,117937570,22,41502288,41503309
11,118033833,118035902,11,118063581,118066537
11,118053960,118055012,11,118066865,118067914
11,118126122,118128016,13,85727533,85729767
11,118978580,118980303,15,68938029,68939756
11,119457047,119459183,11,119459184,119461394
12,17641,24322,15,100307956,100314647
12,102904856,102906728,12,25848588,25850460
12,40906913,40909505,14,104648156,104650430
12,104933818,104935305,12,56663449,56664804
12,110589117,110592550,12,64324357,64326488
12,67232963,67234007,14,102910044,102911084
12,102948657,102950370,12,92557810,92559523
12,102948671,102950341,12,94590196,94591866
12,100404251,100405971,17,30542410,30543799
12,102140022,102141027,12,102146012,102147019
12,102948632,102950384,15,94784845,94786604
12,103894608,103895767,18,9668191,9669362
12,104933721,104935342,13,49644142,49645753
12,104934651,104936317,22,39551079,39553180
12,105090123,105093954,14,91502101,91505992
12,106189301,106191451,14,50972926,50975781
12,109350795,109352573,13,22606312,22608026
12,110589115,110592453,13,47798512,47800637
12,111431023,111432094,13,77643422,77644502
12,113454742,113470308,12,113484705,113497645
13,20433375,20434415,14,102910045,102911082
13,102494351,102495491,13,20877381,20878520
13,22400005,22424805,14,104003183,104027269
13,22416817,22431663,14,104020296,104036227
13,22440394,22442581,14,104036292,104038490
13,23795100,23799845,14,103988299,103992756
13,23820227,23856715,14,104001077,104036210
13,23864958,23866574,14,104037392,104039017
13,66738883,66739914,14,102910048,102911083
13,91922003,91931170,15,100144245,100152120
13,110396665,110398279,13,112135102,112136727
13,110401580,110408449,13,112094957,112101947
13,111849368,111850466,13,111850467,111851662
13,111979463,111987181,13,111987280,111999998
13,112000001,112007994,13,112008260,112016083
13,112000001,112007500,13,112007649,112015080
13,112000001,112007342,13,112007343,112014684
13,112000001,112007240,13,112007241,112014480
13,112000001,112006526,13,112006527,112013188
13,112000001,112006172,13,112008702,112014805
13,112000001,112005642,13,112009008,112014718
13,112000001,112005812,13,112005813,112011284
13,112000001,112005068,13,112009688,112014721
13,112000001,112005068,13,112009892,112014721
13,112000001,112004864,13,112009994,112014721
13,112000001,112004252,13,112010572,112014721
13,112000001,112003977,13,112003978,112008055
13,112000001,112003708,13,112010979,112014721
13,112000001,112003402,13,112011285,112014721
13,112000001,112003263,13,112003264,112006458
13,112000001,112003164,13,112011523,112014721
13,112000001,112003127,13,112003128,112006322
13,112000001,112003025,13,112003026,112006220
13,112000001,112002722,13,112011965,112014721
13,112000001,112002620,13,112012169,112014721
13,112000001,112002522,13,112002584,112005072
13,112000001,112002314,13,112012271,112014721
13,112000001,112002073,13,112002074,112004215
13,112000001,112001869,13,112001870,112003705
13,112000001,112001631,13,112001632,112003229
13,112000001,112001566,13,112013087,112014721
13,112000002,112006359,13,112008499,112014721
13,112000002,112001767,13,112012952,112014718
13,112000027,112005068,13,112009612,112014721
13,112000322,112002488,13,112002497,112004732
13,112000435,112005955,13,112005975,112011325
13,112000518,112003678,13,112003679,112006941
13,112000561,112004868,13,112004878,112009150
13,112000639,112001876,13,112001896,112003168
13,112000741,112004126,13,112004140,112007389
13,112000756,112003066,13,112003067,112005412
13,112000765,112003411,13,112003416,112006096
13,112000842,112005955,13,112006042,112011019
13,112001012,112002699,13,112002711,112004433
13,112001033,112003683,13,112003684,112006334
13,112001570,112005648,13,112005649,112009727
13,112001814,112006096,13,112006097,112010277
13,112002047,112006805,13,112006806,112011563
13,112002217,112006567,13,112006568,112010816
13,112002304,112004119,13,112004140,112005852
13,112003137,112008809,13,112008813,112014690
13,112003314,112007389,13,112007393,112011433
13,112003596,112005955,13,112005975,112008198
13,112003843,112006084,13,112006086,112008293
13,112003926,112008643,13,112008650,112013470
13,112003926,112007083,13,112007087,112010142
13,112004332,112005961,13,112005963,112007593
13,112004548,112009588,13,112009612,112014721
13,112005296,112009591,13,112009612,112013976
13,112005635,112006669,13,112006689,112007689
13,112005758,112008646,13,112008647,112011671
13,112005961,112008406,13,112008408,112010922
13,112006262,112007689,13,112007690,112009150
13,112006364,112009830,13,112009831,112013467
13,112006451,112009591,13,112009612,112012718
13,112007078,112009286,13,112009287,112011563
13,112007267,112010136,13,112010156,112012923
13,112007599,112010918,13,112010929,112014181
13,112007878,112009591,13,112009612,112011222
13,112008082,112010373,13,112010394,112012514
13,112008286,112009598,13,112009612,112010924
13,112008932,112011427,13,112011447,112013977
13,112008956,112010272,13,112010282,112011563
13,112009094,112010927,13,112010929,112012626
13,112009374,112011671,13,112011685,112013881
13,112009465,112010790,13,112010791,112012081
13,112009918,112011427,13,112011447,112012923
13,112010394,112012222,13,112012909,112014805
13,112010929,112012817,13,112012833,112014721
13,112010929,112012623,13,112012629,112014289
13,112011974,112013229,13,112013232,112014521
13,112564973,112566314,13,112566432,112567774
13,113342433,113343782,15,77635966,77638802
13,114085308,114089385,17,20218721,20220035
13,114085308,114089385,17,16588779,16590093
14,100017005,100018164,14,68423459,68424589
14,102910044,102911083,14,76170792,76171834
14,102910044,102911083,14,94262301,94263344
14,100017005,100018189,17,38550464,38552254
14,100017005,100018133,15,60440754,60441857
14,100017034,100018168,15,91056036,91057140
14,100017077,100018168,18,53835898,53837284
14,101325768,101327846,14,103299149,103300879
14,102877393,102879261,20,32251570,32253547
14,102910044,102911082,19,23801728,23802770
14,102910048,102911083,15,50965007,50966037
14,102910057,102911082,16,72531971,72533000
14,103810800,103812091,14,103812092,103813383
14,104478982,104483420,14,104486902,104490824
14,104480453,104484905,14,104484908,104490824
14,104647711,104650566,19,35080637,35084937
14,104647728,104650430,19,20377011,20379845
14,104647870,104650432,15,73559868,73562326
14,104647906,104650432,17,39612580,39614581
14,104648147,104650554,19,13674135,13676374
14,104648156,104650355,19,22899909,22903253
14,104767008,104772515,14,104772516,104778328
14,104767008,104768228,14,104768232,104769452
14,105082805,105110936,14,105208507,105231163
14,105108746,105114470,14,105232221,105237769
14,105108746,105110789,14,105115805,105117836
14,105115790,105142741,14,105235726,105261528
14,105115805,105117829,14,105228884,105230916
14,105143792,105169420,14,105288206,105315245
14,105150359,105169808,14,105169816,105189764
14,105157301,105163740,14,105200013,105207520
14,105169811,105197251,14,105265575,105296215
14,105176354,105182465,14,105200013,105207520
14,105198611,105207520,14,105299566,105309081
14,105200001,105207520,14,105273126,105280741
14,105228884,105231000,14,105235669,105237762
14,105261527,105288158,14,105290817,105315255
14,105314296,105315421,14,105386216,105387344
14,105448270,105466929,15,18468201,18486782
14,105448270,105466929,15,19479576,19498151
14,105482026,105510921,15,19498180,19526648
14,105482026,105510921,15,18486811,18515220
14,105504121,105510483,16,33517420,33523907
14,105510978,105554411,15,19936290,19979483
14,105512313,105519081,15,18515139,18521339
14,105512313,105519081,15,19526567,19532766
14,105548902,105549981,14,105876001,105877090
14,105555416,105556734,15,19981326,19982670
14,105561451,105563714,16,33587472,33589707
14,105561451,105563714,16,32893035,32895248
14,105561451,105563714,14,105674339,105676547
14,105588149,105590072,14,105642988,105644900
14,105634436,105680985,16,33540945,33594144
14,105634436,105680985,16,32888600,32942264
14,105634436,105680985,16,31945035,31999011
14,105642988,105644885,14,105761415,105763328
14,105642990,105644885,14,106062973,106065471
14,105681040,105705132,16,33647989,33678690
14,105681040,105704701,16,31868663,31893507
14,105681040,105705132,16,32811649,32834674
14,105705129,105723973,15,18430407,18449487
14,105705132,105708833,14,106208146,106212025
14,105705134,105706963,21,9882604,9884449
14,105712748,105724706,14,105904418,105916658
14,105712752,105714313,14,106353981,106355554
14,105738781,105752187,15,18453086,18466884
14,105743870,105752187,15,19469972,19478267
14,105790975,105792470,14,106091338,106092847
14,105823565,105829883,16,33717500,33724543
14,105823565,105829883,16,32765790,32772829
14,105851759,105876456,14,105876458,105900841
14,105875337,105876920,14,106153381,106154962
14,105875396,105876920,14,106165303,106166838
14,105876001,105877090,15,19974033,19975119
14,105904409,105915931,15,18438182,18449487
14,105915954,105917401,16,33659519,33660968
14,105915954,105917401,16,32821678,32823133
14,105923895,105932528,14,106005268,106013573
14,105934837,105937956,14,106199471,106202581
14,105947547,105950742,14,106153177,106156363
14,105947795,105950716,14,106165300,106168216
14,106002963,106005257,15,19470296,19472590
14,106003926,106005260,14,106245449,106246794
14,106072415,106076742,16,33498569,33502893
14,106119548,106123356,14,106201912,106205601
14,106153352,106158725,14,106165214,106170655
14,106207631,106212025,15,18429899,18434255
14,106207631,106210049,21,9882604,9884962
14,106287551,106294042,16,33533241,33539800
15,100125399,100140637,15,19026924,19041965
15,100125399,100140637,15,20252792,20267856
15,100125398,100140599,15,20805914,20821168
15,100125399,100140637,15,20985749,21000790
15,100125398,100140637,15,21150546,21165893
15,100125399,100140637,15,26296615,26311689
15,100125399,100140637,15,26562875,26577949
15,100125398,100140599,15,26741978,26757375
15,100101242,100102862,15,26761686,26763122
15,100122441,100140599,15,28161681,28180673
15,100108129,100110303,15,28180559,28182676
15,100122441,100140599,15,28213777,28232025
15,100108129,100110303,15,28473560,28475677
15,100122441,100140599,15,28475563,28494523
15,100101218,100102862,15,28498808,28500268
15,100101242,100102862,15,28624961,28626397
15,100122441,100140599,15,28630707,28649670
15,100108129,100110303,15,28649556,28651674
