n1 n2 p1 p2 chr
link_3122bundle hs11 18372687 18457723 chr11
link_3327bundle dm2r 11425718 11427520 chr11
link_3327bundle hs11 18058469 18248102 chr11
link_3444bundle dm2r 12302311 12323459 chr11
link_3444bundle hs11 85829798 86061075 chr11
link_3478bundle dm2r 12477024 12946810 chr11
link_3478bundle hs11 13646840 14246222 chr11
link_4119bundle dm2r 18106028 18116073 chr11
link_4119bundle hs11 74539809 74594945 chr11
link_4393bundle dm2r 19962536 19965231 chr11
link_4393bundle hs11 19160154 19180177 chr11
link_2249bundle dm2r 2556598 2905869 chr12
link_2249bundle hs12 54405500 54951015 chr12
link_2532bundle dm2r 4589340 4600222 chr12
link_2532bundle hs12 112220955 112257308 chr12
link_2859bundle dm2r 7265036 7329728 chr12
link_2859bundle hs12 54405500 55134696 chr12
link_2864bundle dm2r 7299447 7329728 chr12
link_2864bundle hs12 48630796 48657189 chr12
link_4120bundle dm2r 18106028 18116073 chr12
link_4120bundle hs12 20739666 21439638 chr12
link_4391bundle dm2r 19962536 19965231 chr12
link_4391bundle hs12 75776627 75796930 chr12
link_2608bundle dm2r 5032754 5052455 chr13
link_2608bundle hs13 28172220 28191111 chr13
link_2258bundle dm2r 2584227 2607038 chr14
link_2258bundle hs14 20537259 21014972 chr14
link_2318bundle dm2r 3328198 4021879 chr14
link_2318bundle hs14 22859337 23848170 chr14
link_2355bundle dm2r 3542633 3554852 chr14
link_2355bundle hs14 67213274 67270920 chr14
link_4058bundle dm2r 17957228 17962842 chr14
link_4058bundle hs14 63763506 63875021 chr14
link_3362bundle dm2r 11878872 12420934 chr15
link_3362bundle hs15 88027318 88573583 chr15
link_4117bundle dm2r 18106028 18116073 chr15
link_4117bundle hs15 90197950 90507783 chr15
link_3115bundle dm2r 9395063 10158159 chr16
link_3115bundle hs16 28510767 30364687 chr16
link_3591bundle dm2r 13343269 13521018 chr16
link_3591bundle hs16 79132355 79395680 chr16
link_3697bundle dm2r 14017799 14515249 chr16
link_3697bundle hs16 65513092 65781608 chr16
link_4175bundle dm2r 18545410 18556318 chr16
link_4175bundle hs16 4500677 4528817 chr16
link_4254bundle dm2r 19491249 19502269 chr16
link_4254bundle hs16 25135784 25147752 chr16
link_4266bundle dm2r 19569147 19823408 chr16
link_4266bundle hs16 28510767 30123150 chr16
link_4404bundle dm2r 20014161 20200626 chr16
link_4404bundle hs16 87468768 88530006 chr16
link_2610bundle dm2r 5032754 5052455 chr17
link_2610bundle hs17 23745788 23757355 chr17
link_3182bundle dm2r 9872317 9878191 chr17
link_3182bundle hs17 31517245 31882216 chr17
link_3181bundle dm2r 9872317 9878191 chr17
link_3181bundle hs17 33358342 33607593 chr17
link_3197bundle dm2r 10052560 10057737 chr17
link_3197bundle hs17 8131807 8139386 chr17
link_3369bundle dm2r 11901309 12025743 chr17
link_3369bundle hs17 4283968 4648744 chr17
link_3446bundle dm2r 12302311 12323459 chr18
link_3446bundle hs18 46659433 46728256 chr18
link_2353bundle dm2r 3542633 3554852 chr19
link_2353bundle hs19 60247523 60272709 chr19
link_2536bundle dm2r 4597268 4792296 chr19
link_2536bundle hs19 51214255 51829782 chr19
link_3004bundle dm2r 8500246 8516124 chr19
link_3004bundle hs19 3045408 3072452 chr19
link_3139bundle dm2r 9729255 9858748 chr19
link_3139bundle hs19 53065682 53794495 chr19
link_4272bundle dm2r 19569147 19864801 chr19
link_4272bundle hs19 53065682 54071126 chr19
link_2379bundle dm2r 3597379 3604296 chr2
link_2379bundle hs2 223244749 223282860 chr2
link_2467bundle dm2r 3919138 4361448 chr2
link_2467bundle hs2 44356120 45025894 chr2
link_2655bundle dm2r 5449154 5451378 chr2
link_2655bundle hs2 232951592 233032984 chr2
link_3079bundle dm2r 9099837 9108523 chr2
link_3079bundle hs2 240714653 241286569 chr2
link_3168bundle dm2r 9857421 9858748 chr2
link_3168bundle hs2 108230083 108370702 chr2
link_3366bundle dm2r 11888628 12420934 chr2
link_3366bundle hs2 96889201 98381496 chr2
link_3395bundle dm2r 12090827 12542551 chr2
link_3395bundle hs2 219792349 220111730 chr2
link_4105bundle dm2r 18091199 18098247 chr2
link_4105bundle hs2 232951592 233032984 chr2
link_4273bundle dm2r 19569147 19570475 chr2
link_4273bundle hs2 108230083 108370702 chr2
link_3584bundle dm2r 13307938 13685650 chr20
link_3584bundle hs20 61039886 62181768 chr20
link_2675bundle dm2r 5493495 5495856 chr22
link_2675bundle hs22 22629605 22714271 chr22
link_3376bundle dm2r 11968674 12420934 chr3
link_3376bundle hs3 49371585 50289574 chr3
link_3393bundle dm2r 12081562 12420934 chr3
link_3393bundle hs3 52410069 52454083 chr3
link_4118bundle dm2r 18106028 18116073 chr3
link_4118bundle hs3 135134236 135231439 chr3
link_2187bundle dm2r 1384184 1437059 chr4
link_2187bundle hs4 69085500 70548007 chr4
link_3069bundle dm2r 9020624 9667750 chr4
link_3069bundle hs4 17188025 17455583 chr4
link_3528bundle dm2r 12730935 12732392 chr4
link_3528bundle hs4 69085500 70548007 chr4
link_3968bundle dm2r 17100383 17105258 chr4
link_3968bundle hs4 69085500 70548007 chr4
link_3019bundle dm2r 8528195 8546853 chr5
link_3019bundle hs5 149656102 150852132 chr5
link_3967bundle dm2r 17100383 17105258 chr5
link_3967bundle hs5 35988967 36102741 chr5
link_3423bundle dm2r 12203817 12323459 chr6
link_3423bundle hs6 82936675 84197498 chr6
link_3598bundle dm2r 13366629 13383504 chr6
link_3598bundle hs6 86216528 86262215 chr6
link_4056bundle dm2r 17957228 17962842 chr6
link_4056bundle hs6 151815115 152466099 chr6
link_2198bundle dm2r 1491091 2127321 chr7
link_2198bundle hs7 99865190 100675091 chr7
link_2383bundle dm2r 3597379 3604296 chr7
link_2383bundle hs7 100625737 100633276 chr7
link_3315bundle dm2r 11255577 11259021 chr7
link_3315bundle hs7 73944358 74826701 chr7
link_3439bundle dm2r 12286432 12420934 chr7
link_3439bundle hs7 82831158 84589183 chr7
link_3669bundle dm2r 13677197 14022136 chr8
link_3669bundle hs8 145388996 145509192 chr8
link_2609bundle dm2r 5032754 5052455 chr9
link_2609bundle hs9 114681022 114692911 chr9
link_2848bundle dm2r 7177190 7520075 chr9
link_2848bundle hs9 35094109 35553896 chr9
link_2967bundle dm2r 8239346 8262597 chr9
link_2967bundle hs9 5774571 5823081 chr9
link_3005bundle dm2r 8500246 8516124 chr9
link_3005bundle hs9 79525020 79836012 chr9
link_3802bundle dm2r 15245236 15276829 chr9
link_3802bundle hs9 5774571 5823081 chr9
link_4078bundle dm2r 18001099 18003695 chr9
link_4078bundle hs9 136912475 136949630 chr9
link_2385bundle dm2r 3597379 3604296 chrX
link_2385bundle hsX 69177117 69377202 chrX
link_2446bundle dm2r 3847629 4048735 chrX
link_2446bundle hsX 118633715 119647969 chrX
link_3026bundle dm2r 8543461 8546853 chrX
link_3026bundle hsX 2832011 3040767 chrX
link_3903bundle dm2r 16540720 16543997 chrX
link_3903bundle hsX 47748678 47876939 chrX
link_4324bundle dm2r 19780699 20061960 chrX
link_4324bundle hsX 118397679 118870996 chrX
link_4667bundle dm3l 1370620 1966808 chr1
link_4667bundle hs1 39124066 40009607 chr1
link_4835bundle dm3l 3090985 3106956 chr1
link_4835bundle hs1 111571804 111771922 chr1
link_5571bundle dm3l 11191266 11511863 chr1
link_5571bundle hs1 10619267 11958182 chr1
link_5926bundle dm3l 15200944 15295840 chr1
link_5926bundle hs1 45021844 45760196 chr1
link_6104bundle dm3l 17048718 17051633 chr1
link_6104bundle hs1 119759268 119859204 chr1
link_4591bundle dm3l 1194738 1228239 chr10
link_4591bundle hs10 29617996 29640163 chr10
link_4590bundle dm3l 1194738 1228239 chr10
link_4590bundle hs10 30940721 30958697 chr10
link_4912bundle dm3l 3938695 3942461 chr10
link_4912bundle hs10 4903865 5320442 chr10
link_5161bundle dm3l 7121013 7124593 chr10
link_5161bundle hs10 15157481 15170781 chr10
link_5302bundle dm3l 8511988 8517961 chr10
link_5302bundle hs10 106004651 106049166 chr10
link_5708bundle dm3l 12491498 12494411 chr10
link_5708bundle hs10 4903865 5320442 chr10
link_5113bundle dm3l 6252589 6255793 chr11
link_5113bundle hs11 18372687 18457723 chr11
link_5412bundle dm3l 9369518 9378384 chr11
link_5412bundle hs11 111284560 111287704 chr11
link_6327bundle dm3l 19485369 19496961 chr11
link_6327bundle hs11 47217429 47226939 chr11
link_4593bundle dm3l 1194738 1228239 chr12
link_4593bundle hs12 47247735 47250096 chr12
link_4589bundle dm3l 1194738 1228239 chr12
link_4589bundle hs12 68028401 68034280 chr12
link_6123bundle dm3l 17480239 17504793 chr12
link_6123bundle hs12 20739666 21439638 chr12
link_6313bundle dm3l 19250511 20151693 chr12
link_6313bundle hs12 6289863 6996103 chr12
link_5022bundle dm3l 5133540 5139248 chr14
link_5022bundle hs14 23175413 23671898 chr14
link_5000bundle dm3l 4429370 4435999 chr15
link_5000bundle hs15 76644961 76720642 chr15
link_5376bundle dm3l 9040540 9059127 chr15
link_5376bundle hs15 41672544 41778712 chr15
link_6648bundle dm3l 23204017 23277642 chr15
link_6648bundle hs15 76644961 76720642 chr15
link_6165bundle dm3l 17799550 17884454 chr16
link_6165bundle hs16 87407644 87450885 chr16
link_6399bundle dm3l 20122282 20793181 chr16
link_6399bundle hs16 1770657 2078713 chr16
link_4588bundle dm3l 1194738 1228239 chr17
link_4588bundle hs17 28342995 28349008 chr17
link_4592bundle dm3l 1194738 1228239 chr17
link_4592bundle hs17 31285638 31294787 chr17
link_4695bundle dm3l 1631681 2258922 chr17
link_4695bundle hs17 7096096 8007017 chr17
link_5002bundle dm3l 4429370 4690070 chr17
link_5002bundle hs17 4741840 4784063 chr17
link_5270bundle dm3l 8184372 8627181 chr17
link_5270bundle hs17 34570354 35712939 chr17
link_6166bundle dm3l 17799550 17884454 chr17
link_6166bundle hs17 63814772 63930467 chr17
link_6521bundle dm3l 21299236 21311076 chr17
link_6521bundle hs17 75366588 75427808 chr17
link_6635bundle dm3l 23119131 23277642 chr17
link_6635bundle hs17 4521429 4747148 chr17
link_5097bundle dm3l 6186584 6249766 chr19
link_5097bundle hs19 12671017 12730269 chr19
link_5414bundle dm3l 9369518 9378384 chr19
link_5414bundle hs19 40937336 40939799 chr19
link_5629bundle dm3l 11808579 12407942 chr19
link_5629bundle hs19 6323444 6410781 chr19
link_5916bundle dm3l 15140240 15147497 chr19
link_5916bundle hs19 5781637 5854798 chr19
link_5925bundle dm3l 15200944 15295840 chr19
link_5925bundle hs19 12724407 12773694 chr19
link_6328bundle dm3l 19485369 19496961 chr19
link_6328bundle hs19 55985484 55990293 chr19
link_5047bundle dm3l 5585841 5590452 chr2
link_5047bundle hs2 232951592 233032984 chr2
link_5160bundle dm3l 7121013 7124593 chr2
link_5160bundle hs2 119840974 119846592 chr2
link_6526bundle dm3l 21435323 21437914 chr2
link_6526bundle hs2 232951592 233032984 chr2
link_6214bundle dm3l 18479602 18902096 chr20
link_6214bundle hs20 62082875 62215047 chr20
link_4953bundle dm3l 4173853 4365247 chr21
link_4953bundle hs21 32895848 34437198 chr21
link_5406bundle dm3l 9353412 9378384 chr21
link_5406bundle hs21 43462210 44006616 chr21
link_4548bundle dm3l 599091 604001 chr22
link_4548bundle hs22 29122933 29272669 chr22
link_4763bundle dm3l 2167771 2192180 chr22
link_4763bundle hs22 41226540 41300332 chr22
link_6168bundle dm3l 17799550 17884454 chr22
link_6168bundle hs22 49410316 49413473 chr22
link_6515bundle dm3l 21295376 21299298 chr22
link_6515bundle hs22 41226540 41300332 chr22
link_4594bundle dm3l 1194738 1228239 chr3
link_4594bundle hs3 42413581 42427069 chr3
link_5591bundle dm3l 11565897 11577164 chr3
link_5591bundle hs3 19895968 19963505 chr3
link_6326bundle dm3l 19485369 19496961 chr3
link_6326bundle hs3 133518941 133569831 chr3
link_6340bundle dm3l 19578193 19803498 chr3
link_6340bundle hs3 123561126 123716474 chr3
link_6159bundle dm3l 17799550 17884454 chr4
link_6159bundle hs4 115040889 115120327 chr4
link_6290bundle dm3l 19052869 19055902 chr4
link_6290bundle hs4 69085500 70548007 chr4
link_4759bundle dm3l 1971662 1974285 chr5
link_4759bundle hs5 150636516 150852132 chr5
link_5448bundle dm3l 9487634 9498429 chr5
link_5448bundle hs5 150636516 150852132 chr5
link_5533bundle dm3l 11029457 11052759 chr5
link_5533bundle hs5 150636516 150852132 chr5
link_5790bundle dm3l 13476633 14075985 chr5
link_5790bundle hs5 176446521 177592392 chr5
link_6160bundle dm3l 17799550 17884454 chr5
link_6160bundle hs5 78108795 78318113 chr5
link_6161bundle dm3l 17799550 17884454 chr5
link_6161bundle hs5 149656102 149662641 chr5
link_4519bundle dm3l 184635 542916 chr6
link_4519bundle hs6 36518522 37061927 chr6
link_5549bundle dm3l 11093773 11433470 chr6
link_5549bundle hs6 11088981 11915239 chr6
link_5813bundle dm3l 13967277 14212390 chr6
link_5813bundle hs6 31594910 31906010 chr6
link_4574bundle dm3l 895951 1302683 chr7
link_4574bundle hs7 6380651 7250505 chr7
link_5101bundle dm3l 6227417 6238836 chr7
link_5101bundle hs7 86869296 87180506 chr7
link_5599bundle dm3l 11613633 11619225 chr7
link_5599bundle hs7 133777649 133876693 chr7
link_4788bundle dm3l 2587450 3070839 chr8
link_4788bundle hs8 145646123 145988609 chr8
link_6220bundle dm3l 18479602 18569426 chr8
link_6220bundle hs8 54013546 54326747 chr8
link_5407bundle dm3l 9357459 9595648 chr9
link_5407bundle hs9 123962011 124125564 chr9
link_5675bundle dm3l 12193496 12836205 chr9
link_5675bundle hs9 129199286 129911345 chr9
link_4596bundle dm3l 1194738 1228239 chrX
link_4596bundle hsX 47748678 47876939 chrX
link_6162bundle dm3l 17799550 17884454 chrX
link_6162bundle hsX 2832011 3040767 chrX
link_6164bundle dm3l 17799550 17884454 chrX
link_6164bundle hsX 7147472 7282682 chrX
link_6755bundle dm3r 1083039 1182467 chr1
link_6755bundle hs1 199370524 200206410 chr1
link_7262bundle dm3r 5638507 5645599 chr1
link_7262bundle hs1 43601660 43606286 chr1
link_7595bundle dm3r 7606851 7636262 chr1
link_7595bundle hs1 15883414 16256390 chr1
link_7876bundle dm3r 10718108 10729796 chr1
link_7876bundle hs1 44208240 44216558 chr1
link_8014bundle dm3r 12087072 12089810 chr1
link_8014bundle hs1 1374932 1459928 chr1
link_8313bundle dm3r 16469876 16733987 chr1
link_8313bundle hs1 37039201 37272431 chr1
link_8511bundle dm3r 18357894 18750073 chr1
link_8511bundle hs1 43601660 43606286 chr1
link_8678bundle dm3r 19526360 19533930 chr1
link_8678bundle hs1 153450240 153481112 chr1
link_8794bundle dm3r 20098753 20485987 chr1
link_8794bundle hs1 148125110 148156058 chr1
link_8829bundle dm3r 20226948 20340823 chr1
link_8829bundle hs1 152806881 152818975 chr1
link_9018bundle dm3r 21825580 21866585 chr1
link_9018bundle hs1 6226849 6228225 chr1
link_9238bundle dm3r 25051989 25053399 chr1
link_9238bundle hs1 20119387 20374274 chr1
link_6746bundle dm3r 1058268 1389347 chr10
link_6746bundle hs10 99208071 99426177 chr10
link_7728bundle dm3r 8837388 9607808 chr10
link_7728bundle hs10 126666408 127532080 chr10
link_8388bundle dm3r 16944973 17713073 chr10
link_8388bundle hs10 102880597 104464180 chr10
link_8457bundle dm3r 17786486 18218084 chr10
link_8457bundle hs10 98582029 99183184 chr10
link_9054bundle dm3r 22274801 22278057 chr10
link_9054bundle hs10 70650065 70831641 chr10
link_9378bundle dm3r 26291774 26325944 chr10
link_9378bundle hs10 74436981 74526630 chr10
link_6927bundle dm3r 2374758 2375705 chr11
link_6927bundle hs11 1562148 1675561 chr11
link_6899bundle dm3r 2374758 2375705 chr11
link_6899bundle hs11 70915961 70971569 chr11
link_7058bundle dm3r 4343586 4351846 chr11
link_7058bundle hs11 86426548 86712215 chr11
link_7621bundle dm3r 7825029 7829239 chr11
link_7621bundle hs11 133651485 133787552 chr11
link_7985bundle dm3r 11722648 11728226 chr11
link_7985bundle hs11 5203272 5623595 chr11
link_8052bundle dm3r 12441033 12448427 chr11
link_8052bundle hs11 13646840 13710467 chr11
link_8098bundle dm3r 13236897 13238084 chr11
link_8098bundle hs11 60727560 60775505 chr11
link_8591bundle dm3r 19004801 19345167 chr11
link_8591bundle hs11 127833874 128293159 chr11
link_8710bundle dm3r 19685876 20460436 chr11
link_8710bundle hs11 63153013 66001381 chr11
link_8728bundle dm3r 19810935 20104515 chr11
link_8728bundle hs11 62311450 62934286 chr11
link_8996bundle dm3r 21732754 21746289 chr11
link_8996bundle hs11 26645142 26701549 chr11
link_9288bundle dm3r 25574948 25728953 chr11
link_9288bundle hs11 65049124 65424573 chr11
link_9380bundle dm3r 26291774 26325944 chr11
link_9380bundle hs11 73655350 73700347 chr11
link_9496bundle dm3r 27577531 27587299 chr11
link_9496bundle hs11 26645142 26701549 chr11
link_6864bundle dm3r 2167723 2170818 chr12
link_6864bundle hs12 117058253 117067770 chr12
link_7149bundle dm3r 5167592 5185154 chr12
link_7149bundle hs12 111829122 111933911 chr12
link_8053bundle dm3r 12441033 12448427 chr12
link_8053bundle hs12 29267865 29378272 chr12
link_8294bundle dm3r 16361405 16563054 chr12
link_8294bundle hs12 54646826 55791428 chr12
link_8994bundle dm3r 21732754 21746289 chr12
link_8994bundle hs12 100073410 100128120 chr12
link_9212bundle dm3r 24964388 25076167 chr12
link_9212bundle hs12 70952730 71345688 chr12
link_9266bundle dm3r 25498178 25960321 chr12
link_9266bundle hs12 6326276 6850373 chr12
link_9494bundle dm3r 27577531 27587299 chr12
link_9494bundle hs12 100073410 100128120 chr12
link_7326bundle dm3r 6522240 6536970 chr14
link_7326bundle hs14 63924821 64125849 chr14
link_8262bundle dm3r 15859598 15861777 chr14
link_8262bundle hs14 23937832 23980385 chr14
link_8838bundle dm3r 20226948 20340823 chr15
link_8838bundle hs15 76644961 76720642 chr15
link_7132bundle dm3r 5077575 5078687 chr16
link_7132bundle hs16 28510767 29383801 chr16
link_7984bundle dm3r 11722648 11728226 chr16
link_7984bundle hs16 142854 171178 chr16
link_9269bundle dm3r 25498178 25758779 chr16
link_9269bundle hs16 23101541 23372000 chr16
link_6762bundle dm3r 1179439 1309607 chr17
link_6762bundle hs17 22807797 24013060 chr17
link_6913bundle dm3r 2374758 2375705 chr17
link_6913bundle hs17 36443662 36686475 chr17
link_8238bundle dm3r 15690179 15874444 chr17
link_8238bundle hs17 6528765 7248142 chr17
link_8289bundle dm3r 16361405 16378034 chr17
link_8289bundle hs17 37604722 37794039 chr17
link_8595bundle dm3r 19004801 19345167 chr17
link_8595bundle hs17 65583021 65687755 chr17
link_8840bundle dm3r 20226948 20340823 chr17
link_8840bundle hs17 4741840 4747148 chr17
link_8834bundle dm3r 20226948 20340823 chr17
link_8834bundle hs17 7289130 7301656 chr17
link_7192bundle dm3r 5381517 5626773 chr19
link_7192bundle hs19 45645541 46629090 chr19
link_7201bundle dm3r 5385487 5387255 chr19
link_7201bundle hs19 6969982 7009651 chr19
link_8997bundle dm3r 21732754 21746289 chr19
link_8997bundle hs19 17843782 17865897 chr19
link_9497bundle dm3r 27577531 27587299 chr19
link_9497bundle hs19 17843782 17865897 chr19
link_7139bundle dm3r 5077575 5078687 chr2
link_7139bundle hs2 108230083 108370702 chr2
link_7176bundle dm3r 5320525 5322452 chr2
link_7176bundle hs2 232951592 233032984 chr2
link_7390bundle dm3r 6977691 7003679 chr2
link_7390bundle hs2 234191093 234346688 chr2
link_7675bundle dm3r 8523044 8863748 chr2
link_7675bundle hs2 31310707 32089547 chr2
link_7792bundle dm3r 9534879 9537557 chr2
link_7792bundle hs2 254896 268278 chr2
link_8359bundle dm3r 16830881 16832709 chr2
link_8359bundle hs2 232951592 233032984 chr2
link_8632bundle dm3r 19358663 19364443 chr2
